c1	KS.9.11.lemma100.000	KS.9.11.lemma100.001	KS.9.11.lemma100.002	KS.9.11.lemma100.003	KS.9.11.lemma100.004	KS.9.11.lemma100.005	KS.9.11.lemma100.006	KS.9.11.lemma100.007	KS.9.11.lemma100.008	KS.9.11.lemma100.009	KS.9.11.lemma100.010	KS.9.11.lemma100.011	KS.9.11.lemma100.012	KS.9.11.lemma100.013	KS.9.11.lemma100.014	KS.9.11.lemma100.015	KS.9.11.lemma100.016	KS.9.11.lemma100.017	KS.9.11.lemma100.018	KS.9.11.lemma100.019
MS.1.9.lemma100.000	0.9904405	0.98541677	0.9611002	0.9667774	0.97602546	0.9863856	0.97842073	0.9876702	0.9617896	0.98491156	0.97915286	0.9753046	0.9697053	0.96732926	0.9852313	0.99018776	0.9627865	0.9629719	0.9857202	0.98423386
MS.1.9.lemma100.001	0.97489166	0.97452885	0.9534935	0.95560354	0.97229445	0.97408795	0.96591675	0.96966684	0.9589845	0.97827166	0.975116	0.97213846	0.9561163	0.9581749	0.9757661	0.9763931	0.95043594	0.96258235	0.97000635	0.96646583
MS.1.9.lemma100.002	0.9802321	0.99172884	0.96808946	0.9730141	0.9729408	0.98225486	0.98313755	0.9695448	0.962646	0.97869676	0.9858385	0.9801804	0.9677062	0.97514856	0.97886527	0.9807807	0.9714302	0.9708927	0.984243	0.9825914
MS.1.9.lemma100.003	0.9702429	0.97653216	0.9849645	0.9835044	0.96811175	0.9675561	0.9784652	0.95513296	0.9462145	0.9684748	0.97021526	0.9641766	0.9439007	0.9622705	0.9677583	0.9724721	0.97380227	0.95497954	0.96884406	0.9669411
MS.1.9.lemma100.004	0.972561	0.9802469	0.98190916	0.9847165	0.9684067	0.9705172	0.9825576	0.95903254	0.9494922	0.970809	0.97481894	0.96794295	0.9512238	0.96421504	0.96904784	0.97405994	0.9754128	0.9587598	0.9714558	0.9719504
MS.1.9.lemma100.005	0.98102623	0.9844587	0.97549695	0.9821973	0.98548895	0.9819088	0.9784041	0.98205066	0.9620208	0.98148537	0.97654176	0.97125626	0.9636077	0.9612065	0.98031104	0.984185	0.96553934	0.9593828	0.9812483	0.9826001
MS.1.9.lemma100.006	0.98206615	0.98019165	0.95678854	0.95988977	0.9764551	0.9936489	0.9683827	0.97887313	0.966594	0.9773772	0.9735772	0.9762068	0.97154254	0.96865517	0.98112094	0.98289275	0.95299864	0.9600719	0.984561	0.9789506
MS.1.9.lemma100.007	0.98246473	0.9847057	0.9665854	0.9725643	0.9746196	0.9776063	0.99275666	0.9809118	0.9563565	0.97864383	0.98248994	0.9721819	0.96277195	0.9664662	0.9819263	0.9860341	0.97346944	0.962877	0.98331654	0.986496
MS.1.9.lemma100.008	0.97638327	0.9805741	0.9639691	0.9692866	0.969103	0.9731715	0.98502815	0.97105575	0.95167005	0.9788519	0.98347855	0.9781013	0.9553722	0.9671647	0.9758379	0.98053384	0.9748724	0.9700843	0.97454107	0.97815835
MS.1.9.lemma100.009	0.9631567	0.96177226	0.9488521	0.94783443	0.9551132	0.9636897	0.96833247	0.9481599	0.9541942	0.9684886	0.9745902	0.9826948	0.95368356	0.97066426	0.9694166	0.9682785	0.9583693	0.9604784	0.9606571	0.9545187
MS.1.9.lemma100.010	0.9639478	0.96984154	0.95851207	0.9576077	0.96273196	0.9712452	0.97615147	0.95409966	0.95978135	0.97201085	0.9792162	0.9791242	0.96223414	0.9800171	0.97495985	0.9704791	0.9599489	0.9648836	0.97239774	0.9664519
MS.1.9.lemma100.011	0.97015595	0.97194505	0.95269966	0.95714074	0.9696218	0.96852547	0.9674364	0.9724697	0.9711189	0.9666456	0.9700143	0.9654259	0.9618571	0.96107453	0.9715372	0.97689843	0.95741946	0.963332	0.9754746	0.97039974
MS.1.9.lemma100.012	0.9758329	0.98303676	0.96308607	0.9675981	0.9662188	0.97395724	0.97832334	0.9640581	0.96440077	0.97654873	0.9862996	0.9794755	0.96583873	0.97219163	0.97365755	0.97290844	0.96564984	0.96796143	0.97229344	0.9772844
MS.1.9.lemma100.013	0.97150266	0.9766332	0.9580946	0.96545994	0.95906395	0.96341276	0.9764179	0.95789975	0.9456545	0.97537136	0.98404396	0.9795553	0.95095813	0.96306294	0.9682131	0.970676	0.96706855	0.9701886	0.963873	0.9723642
MS.1.9.lemma100.014	0.9755933	0.97925705	0.9644912	0.96409917	0.97100663	0.9792689	0.9810508	0.971341	0.9632639	0.9795085	0.9810672	0.97756696	0.9767873	0.9815114	0.98176974	0.97642636	0.96287537	0.96813333	0.9805302	0.9816638
MS.1.9.lemma100.015	0.96442	0.9632541	0.9496633	0.94712096	0.96457446	0.9731839	0.9536399	0.9685691	0.9711126	0.9680327	0.965927	0.9655455	0.98126966	0.97913337	0.9777594	0.9706079	0.9403187	0.9559482	0.9782899	0.969767
MS.1.9.lemma100.016	0.98654014	0.9817245	0.9600668	0.9619256	0.9774388	0.9876957	0.97485113	0.9833121	0.96218336	0.98399675	0.978781	0.9751135	0.96935034	0.9727391	0.9893172	0.98941195	0.96235526	0.96120405	0.9850032	0.9830798
MS.1.9.lemma100.017	0.9881922	0.9851824	0.9613583	0.96650934	0.9774398	0.9832588	0.97444046	0.9875097	0.9642265	0.98095274	0.97953236	0.97236544	0.970837	0.96770173	0.9860741	0.9933461	0.96374154	0.96094906	0.9856285	0.9858732
