c1	KS.8.lemma200.000	KS.8.lemma200.001	KS.8.lemma200.002	KS.8.lemma200.003	KS.8.lemma200.004	KS.8.lemma200.005	KS.8.lemma200.006	KS.8.lemma200.007	KS.8.lemma200.008	KS.8.lemma200.009	KS.8.lemma200.010	KS.8.lemma200.011	KS.8.lemma200.012	KS.8.lemma200.013	KS.8.lemma200.014	KS.8.lemma200.015	KS.8.lemma200.016	KS.8.lemma200.017	KS.8.lemma200.018
MS.1.6.lemma200.000	0.97350705	0.9642198	0.9344645	0.9884158	0.9744906	0.9537841	0.96550536	0.9711483	0.97066075	0.9675286	0.9631151	0.9750281	0.9254408	0.9827293	0.9828888	0.9729078	0.97252446	0.97231615	0.9866764
MS.1.6.lemma200.001	0.98157334	0.9733775	0.95257926	0.98107	0.9683	0.96696126	0.9691155	0.9682649	0.96318823	0.9661487	0.9750226	0.96314526	0.92412186	0.98072284	0.9750932	0.9716202	0.9660647	0.9669158	0.9819075
MS.1.6.lemma200.002	0.9717774	0.97273684	0.9488323	0.9704832	0.9602016	0.9662387	0.9728291	0.97210556	0.9851554	0.97351635	0.95370096	0.9731945	0.95274496	0.9760719	0.96569145	0.96783584	0.9783008	0.9721299	0.9787355
MS.1.6.lemma200.003	0.96560574	0.95954305	0.94539183	0.96259135	0.96843714	0.94559294	0.94935745	0.959413	0.94862026	0.98201317	0.94651306	0.9576622	0.96346253	0.9663883	0.95087945	0.9553253	0.95661014	0.9693667	0.9722225
MS.1.6.lemma200.004	0.95664454	0.9426824	0.9192466	0.9635496	0.9751418	0.9199866	0.9314075	0.957231	0.9350612	0.9548263	0.94034255	0.95787215	0.9268022	0.95884144	0.9545005	0.9383181	0.9545705	0.96618795	0.9632056
MS.1.6.lemma200.005	0.9719147	0.96745026	0.94582045	0.9675303	0.9551843	0.97119904	0.97693497	0.97251016	0.9547781	0.9595336	0.9615036	0.96912104	0.92964494	0.97428674	0.9656678	0.9759359	0.9723157	0.9665213	0.9692436
MS.1.6.lemma200.006	0.97521013	0.9772067	0.94643176	0.9814673	0.9694392	0.96421695	0.97937846	0.97885346	0.9734572	0.96800655	0.96277577	0.9795921	0.93510455	0.9834912	0.9773934	0.97732735	0.97924656	0.97471195	0.9862123
MS.1.6.lemma200.007	0.98125476	0.9715074	0.95084655	0.97297484	0.9663569	0.9682754	0.9750579	0.97035456	0.9628273	0.97445446	0.96984875	0.9722676	0.94062	0.9825487	0.97559357	0.98516124	0.97504926	0.9778723	0.97629607
MS.1.6.lemma200.008	0.9660761	0.96444744	0.9344064	0.9743949	0.9695979	0.946049	0.9578418	0.9760889	0.95644134	0.95765364	0.9469656	0.96946424	0.9307753	0.97718364	0.9691513	0.953436	0.9677829	0.9655064	0.97376865
MS.1.6.lemma200.009	0.9678132	0.9552658	0.93156606	0.9664089	0.965727	0.9471602	0.95140463	0.9664735	0.95853835	0.96501994	0.9425133	0.96674216	0.9296261	0.9779033	0.9695656	0.9657889	0.9683204	0.9701252	0.97347707
MS.1.6.lemma200.010	0.96534634	0.9619712	0.9410923	0.961044	0.97109884	0.9416776	0.9490418	0.9577608	0.9418199	0.96590877	0.93374175	0.95500195	0.95160216	0.9715838	0.95249504	0.9485463	0.9652424	0.9648913	0.9618175
MS.1.6.lemma200.011	0.980939	0.9883174	0.9818314	0.9564277	0.9525827	0.9737171	0.96661234	0.96515685	0.9440352	0.95968753	0.9735484	0.95520395	0.9489528	0.97381574	0.9562636	0.95677537	0.96548915	0.967583	0.97054964
MS.1.6.lemma200.012	0.97447133	0.978944	0.9611831	0.9641934	0.9526725	0.9611231	0.9714741	0.9733073	0.9527801	0.9607554	0.9656311	0.97100097	0.9428097	0.9742341	0.959874	0.9640602	0.9678911	0.97453445	0.9774399
MS.1.6.lemma200.013	0.98035926	0.9711905	0.95102495	0.9701148	0.95984805	0.97008264	0.9736946	0.9816409	0.96449286	0.96301	0.9628504	0.9819842	0.93931836	0.9825486	0.973807	0.9740354	0.9772104	0.9841199	0.98142475
MS.1.6.lemma200.014	0.9786554	0.9658386	0.94767594	0.972222	0.9745976	0.95143586	0.9620498	0.97062474	0.95680356	0.97695637	0.96613985	0.9756508	0.9515234	0.98244005	0.9712948	0.970813	0.9729666	0.98810387	0.9810876
MS.1.6.lemma200.015	0.9647516	0.9580471	0.9256124	0.968749	0.9576094	0.935385	0.9605832	0.9705082	0.9559967	0.9550814	0.93704534	0.9761534	0.931043	0.9675197	0.96038157	0.958805	0.9606794	0.97132295	0.9756559
MS.1.6.lemma200.016	0.9778556	0.9728249	0.94362605	0.9786425	0.9704024	0.9555897	0.97613555	0.97409195	0.96548927	0.9686615	0.94810617	0.9787685	0.9452496	0.9811793	0.9699495	0.96959335	0.97354805	0.97573125	0.98166275
MS.1.6.lemma200.017	0.9611295	0.96069294	0.9298112	0.96505976	0.95047706	0.944492	0.97783285	0.97858185	0.9578688	0.94968206	0.93615764	0.97903067	0.925537	0.964338	0.9548852	0.9599434	0.9660507	0.9669372	0.97414005
MS.1.6.lemma200.018	0.9677471	0.971258	0.9550931	0.9621441	0.94189584	0.96723664	0.9808522	0.9715946	0.9538576	0.946892	0.9586208	0.96410453	0.9196344	0.9626362	0.95362574	0.95846295	0.96185386	0.95664316	0.97417563
